dataset,base,augmentation,seed,metric,value,wall_clock_s,peak_mem_mb
yelp,sgl,base,2,recall@10,0.07226285,256.7,756.9
yelp,sgl,base,2,recall@20,0.11816188,256.7,756.9
yelp,sgl,base,2,ndcg@5,0.04920601,256.7,756.9
yelp,sgl,base,2,ndcg@10,0.05884262,256.7,756.9
yelp,sgl,base,2,ndcg@20,0.07439157,256.7,756.9
yelp,sgl,base,3,recall@5,0.04232288,239.9,757.1
yelp,sgl,base,3,recall@10,0.0691207,239.9,757.1
yelp,sgl,base,3,recall@20,0.11548234,239.9,757.1
yelp,sgl,base,3,ndcg@5,0.04920638,239.9,757.1
yelp,sgl,base,3,ndcg@10,0.057414,239.9,757.1
yelp,sgl,base,3,ndcg@20,0.07326538,239.9,757.1
yelp,sgl,base,4,recall@5,0.04242807,254.0,756.9
yelp,sgl,base,4,recall@10,0.07291904,254.0,756.9
yelp,sgl,base,4,recall@20,0.11826359,254.0,756.9
yelp,sgl,base,4,ndcg@5,0.04970245,254.0,756.9
yelp,sgl,base,4,ndcg@10,0.05926911,254.0,756.9
yelp,sgl,base,4,ndcg@20,0.07470825,254.0,756.9
yelp,simgcl,llm_agr,0,recall@5,0.0472897,352.8,2416.2
yelp,simgcl,llm_agr,0,recall@10,0.07922444,352.8,2416.2
yelp,simgcl,llm_agr,0,recall@20,0.12958734,352.8,2416.2
yelp,simgcl,llm_agr,0,ndcg@5,0.05518346,352.8,2416.2
yelp,simgcl,llm_agr,0,ndcg@10,0.06491662,352.8,2416.2
yelp,simgcl,llm_agr,0,ndcg@20,0.08202047,352.8,2416.2
yelp,simgcl,llm_agr,1,recall@5,0.04712809,359.4,2417.9
yelp,simgcl,llm_agr,1,recall@10,0.07853932,359.4,2417.9
yelp,simgcl,llm_agr,1,recall@20,0.12767561,359.4,2417.9
yelp,simgcl,llm_agr,1,ndcg@5,0.05508798,359.4,2417.9
yelp,simgcl,llm_agr,1,ndcg@10,0.06471773,359.4,2417.9
yelp,simgcl,llm_agr,1,ndcg@20,0.08139669,359.4,2417.9
yelp,simgcl,llm_agr,2,recall@5,0.04592521,290.1,2417.7
yelp,simgcl,llm_agr,2,recall@10,0.07768445,290.1,2417.7
yelp,simgcl,llm_agr,2,recall@20,0.12836402,290.1,2417.7
